datetime_utc,date,time,week,symbol,direction,ticket,lots,entry,sl,tp,status,pnl
2025-11-06T17:26:44.186284+00:00,2025-11-06,17:26:44.186284,45,GBPUSD,short,0,1.0,1.31057,1.311463171,1.308783658,skipped,0.0
2025-11-06T17:26:44.959872+00:00,2025-11-06,17:26:44.959872,45,USDCHF,long,0,1.0,0.80717,0.806537849,0.8084343020000001,skipped,0.0
2025-11-06T17:27:16.337583+00:00,2025-11-06,17:27:16.337583,45,GBPUSD,short,0,1.0,1.3103799999999999,1.311463114,1.3082137719999998,skipped,0.0
2025-11-06T17:27:16.968053+00:00,2025-11-06,17:27:16.968053,45,USDCHF,long,0,1.0,0.80721,0.806537837,0.8085543259999999,skipped,0.0
2025-11-06T17:27:48.401124+00:00,2025-11-06,17:27:48.401124,45,USDCHF,long,0,1.0,0.80727,0.8065378190000001,0.8087343619999999,skipped,0.0
2025-11-06T17:28:19.187266+00:00,2025-11-06,17:28:19.187266,45,GBPUSD,short,0,1.0,1.31036,1.3114631079999999,1.3081537840000002,skipped,0.0
2025-11-06T17:28:19.696755+00:00,2025-11-06,17:28:19.696755,45,USDCHF,long,0,1.0,0.80735,0.806537795,0.80897441,skipped,0.0
2025-11-06T17:28:51.719941+00:00,2025-11-06,17:28:51.719941,45,USDCHF,long,0,1.0,0.80737,0.8065377890000001,0.809034422,skipped,0.0
2025-11-06T17:29:23.106042+00:00,2025-11-06,17:29:23.106042,45,GBPUSD,short,0,1.0,1.31026,1.311463078,1.3078538439999998,skipped,0.0
2025-11-06T17:29:24.362021+00:00,2025-11-06,17:29:24.362021,45,USDCHF,long,0,1.0,0.80743,0.806537771,0.8092144579999999,skipped,0.0
2025-11-06T17:29:56.298191+00:00,2025-11-06,17:29:56.298191,45,USDCHF,long,0,1.0,0.80733,0.806537801,0.8089143979999999,skipped,0.0
2025-11-06T17:30:27.330032+00:00,2025-11-06,17:30:27.330032,45,GBPUSD,short,0,1.0,1.3108,1.31146324,1.30911,skipped,0.0
